,股票代號,股票名稱,股利發放年度,股價年度,年度最高價,年度最低價,p0,p1,p2
0,9103,美德醫療-DR        ,2012,2012,4.14,1.86,1.23,1.04,0.83
1,9103,美德醫療-DR        ,2013,2013,3.80,2.13,0.78,0.60,0.54
2,9103,美德醫療-DR        ,2014,2014,3.41,2.09,0.63,0.56,-0.01
3,9103,美德醫療-DR        ,2015,2015,3.27,1.68,0.95,0.23,0.22
4,9103,美德醫療-DR        ,2016,2016,2.07,1.65,0.25,0.24,-0.04
5,9103,美德醫療-DR        ,2017,2017,2.05,1.25,0.64,0.26,-0.02
6,9103,美德醫療-DR        ,2018,2018,1.58,1.15,0.37,0.06,66.83
7,9103,美德醫療-DR        ,2019,2019,1.22,1.00,0.22,77.00,36.00
8,9103,美德醫療-DR        ,2020,2020,78.00,1.34,57.21,26.61,10.64
9,9103,美德醫療-DR        ,2021,2021,37.00,12.00,2.08,0.30,
10,9103,美德醫療-DR        ,2022,2022,15.60,8.11,0.92,,
