"115年04月15日 個股日本益比、殖利率及股價淨值比"
"證券代號","證券名稱","收盤價","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"1101","台泥","24.60","3.25","114","-","0.82","114/4",
"1102","亞泥","35.35","6.51","114","12.49","0.70","114/4",
"1103","嘉泥","13.85","3.97","113","16.49","0.50","114/4",
"1104","環泥","29.30","6.31","114","11.45","0.83","114/4",
"1108","幸福","14.80","6.76","114","6.79","1.04","114/4",
"1109","信大","15.50","5.81","114","15.05","0.63","114/4",
"1110","東泥","15.70","1.91","114","43.61","0.95","114/4",
"1201","味全","13.35","1.57","114","33.38","0.88","114/4",
"1203","味王","42.10","2.38","114","23.26","1.57","114/4",
"1210","大成","54.80","5.47","114","12.66","1.72","114/4",
"1213","大飲","9.29","3.77","113","-","0.81","114/4",
"1215","卜蜂","143.00","4.90","114","13.76","3.39","114/4",
"1216","統一","72.60","4.13","114","21.04","3.04","114/4",
"1217","愛之味","10.35","2.42","114","24.64","0.66","114/4",
"1218","泰山","19.15","6.89","114","12.04","0.72","114/4",
"1219","福壽","14.60","3.42","113","32.44","1.09","114/4",
"1220","台榮","12.65","1.58","114","158.13","0.95","114/4",
"1225","福懋油","33.70","2.97","114","20.80","2.09","114/4",
"1227","佳格","29.85","4.49","114","22.44","1.46","114/4",
"1229","聯華","43.75","4.57","114","17.02","1.37","114/4",
"1231","聯華食","89.60","2.79","114","23.52","3.69","114/4",
"1232","大統益","150.50","4.78","114","18.22","4.08","114/4",
"1233","天仁","29.50","0.68","114","39.33","1.97","114/4",
"1234","黑松","36.10","4.57","114","18.05","0.77","114/4",
"1235","興泰","43.15","5.79","113","-","0.68","114/4",
"1236","宏亞","26.85","6.15","114","-","0.92","114/4",
"1256","鮮活果汁-KY","151.00","4.37","114","14.13","1.37","114/4",
"1301","台塑","52.30","0.96","114","-","0.92","114/4",
"1303","南亞","88.50","0.90","114","155.26","1.97","114/4",
"1304","台聚","15.35","0.98","114","-","0.94","114/4",
"1305","華夏","17.00","0.59","114","-","1.28","114/4",
"1307","三芳","32.00","6.88","114","11.23","1.26","114/4",
"1308","亞聚","15.95","1.25","114","-","0.93","114/4",
"1309","台達化","21.25","0.71","114","-","1.47","114/4",
"1310","台苯","10.35","0.00","113","-","0.74","114/4",
"1312","國喬","14.45","0.00","113","-","0.56","114/4",
"1313","聯成","12.65","0.79","114","-","0.57","114/4",
"1314","中石化","7.73","0.00","113","-","0.38","114/4",
"1315","達新","64.20","7.01","114","41.42","0.61","114/4",
"1316","上曜","12.20","0.00","113","-","0.98","114/4",
"1319","東陽","78.60","6.36","114","12.22","1.66","114/4",
"1321","大洋","33.10","1.15","113","-","1.28","114/4",
"1323","永裕","21.40","4.21","114","82.31","0.76","114/4",
"1324","地球","11.20","1.79","113","-","0.94","114/4",
"1325","恆大","26.95","1.11","113","-","0.89","114/4",
"1326","台化","50.40","1.19","114","-","0.85","114/4",
"1337","再生-KY","5.70","0.00","113","-","0.42","114/4",
"1338","廣華-KY","16.35","1.83","114","-","0.23","114/4",
"1339","昭輝","40.35","6.20","114","16.74","0.74","114/4",
"1340","勝悅-KY","6.46","0.00","113","-","0.38","114/4",
"1341","富林-KY","60.60","6.60","114","16.33","2.48","114/4",
"1342","八貫","88.20","6.80","114","15.53","2.87","114/4",
"1402","遠東新","26.50","4.72","114","18.15","0.62","114/4",
"1409","新纖","16.65","5.41","114","13.88","0.65","114/4",
"1410","南染","31.95","0.63","114","54.15","1.88","114/4",
"1413","宏洲","9.83","0.00","113","21.84","1.15","114/4",
"1414","東和","16.95","1.18","114","80.71","1.15","114/4",
"1416","廣豐","11.65","4.89","114","14.38","0.49","114/4",
"1417","嘉裕","9.05","2.76","114","14.60","0.73","114/4",
"1418","東華","18.45","0.00","113","-","0.81","114/4",
"1419","新紡","63.80","2.35","113","15.52","1.09","114/4",
"1423","利華","40.15","8.97","114","9.21","1.09","114/4",
"1432","大魯閣","17.10","11.70","114","2.84","1.11","114/4",
"1434","福懋","16.75","2.99","114","32.84","0.67","114/4",
"1435","中福","0.00","0.00","113","-","1.93","114/4",
"1436","華友聯","53.30","9.47","114","10.64","1.59","114/4",
"1437","勤益控","30.55","3.14","114","12.62","0.75","114/4",
"1438","三地開發","29.15","0.00","113","16.75","1.03","114/4",
"1439","雋揚","28.00","1.79","114","8.72","0.87","114/4",
"1440","南紡","13.65","2.20","114","-","0.82","114/4",
"1441","大東","9.82","0.00","113","-","1.52","114/4",
"1442","名軒","27.20","16.54","113","8.98","1.24","114/4",
"1443","立益物流","23.75","0.00","113","21.02","1.40","114/4",
"1444","力麗","6.63","0.00","113","-","0.68","114/4",
"1445","大宇","13.05","3.83","114","-","0.80","114/4",
"1446","宏和","16.40","9.15","114","10.12","0.81","114/4",
"1447","力鵬","5.27","0.00","113","-","0.59","114/4",
"1449","佳和","14.70","0.00","114","133.64","0.82","114/4",
"1451","年興","18.65","5.36","114","10.60","0.50","114/4",
"1452","宏益","11.85","1.69","114","-","0.58","114/4",
"1453","大將","12.20","2.46","114","305.00","0.96","114/4",
"1454","台富","12.85","0.78","114","-","1.14","114/4",
"1455","集盛","8.74","1.83","114","-","0.80","114/4",
"1456","怡華","14.60","0.00","113","4.28","0.71","114/4",
"1457","宜進","15.00","6.67","114","12.71","0.65","114/4",
"1459","聯發","11.65","1.72","114","14.38","1.05","114/4",
"1460","宏遠","7.01","0.00","113","-","0.83","114/4",
"1463","強盛新","17.95","0.72","114","138.08","1.18","114/4",
"1464","得力","10.40","2.40","114","29.71","0.85","114/4",
"1465","偉全","12.95","2.32","114","-","0.85","114/4",
"1466","聚隆","16.45","1.22","114","-","1.18","114/4",
"1467","南緯","7.07","0.00","113","-","0.56","114/4",
"1468","昶和","12.60","0.00","113","60.00","1.43","114/4",
"1470","大統新創","22.75","2.86","114","29.17","1.92","114/4",
"1471","首利","11.90","0.00","113","396.67","1.24","114/4",
"1472","三洋實業","95.40","6.29","114","14.91","2.18","114/4",
"1473","台南","23.60","2.12","114","41.40","0.91","114/4",
"1474","弘裕","10.40","2.40","114","30.59","0.63","114/4",
"1475","業旺","28.75","5.22","114","10.57","1.22","114/4",
"1476","儒鴻","340.50","4.41","114","16.94","3.15","114/4",
"1477","聚陽","215.00","6.98","114","14.68","3.78","114/4",
"1503","士電","194.00","2.58","114","30.94","2.78","114/4",
"1504","東元","62.20","3.22","114","27.77","1.59","114/4",
"1506","正道","11.25","0.00","113","187.50","1.21","114/4",
"1512","瑞利","7.39","0.00","113","38.89","1.11","114/4",
"1513","中興電","150.50","3.99","114","18.65","3.60","114/4",
"1514","亞力","109.00","2.02","114","33.03","4.66","114/4",
"1515","力山","23.00","2.61","114","23.71","1.05","114/4",
"1516","川飛","19.90","0.00","113","398.00","3.85","114/4",
"1517","利奇","11.20","1.79","114","-","0.72","114/4",
"1519","華城","877.00","1.37","114","62.69","26.18","114/4",
"1521","大億","25.00","3.00","114","28.74","1.02","114/4",
"1522","堤維西","32.80","3.66","114","18.74","1.12","114/4",
"1524","耿鼎","30.60","4.58","114","15.69","1.68","114/4",
"1525","江申","61.00","4.59","114","19.00","0.89","114/4",
"1526","日馳","16.80","0.00","113","-","0.74","114/4",
"1527","鑽全","32.85","4.57","114","21.61","0.94","114/4",
"1528","恩德","30.35","0.33","113","-","2.70","114/4",
"1529","樂事綠能","23.90","0.84","113","23.66","2.04","114/4",
"1530","亞崴","27.30","3.66","114","-","0.81","114/4",
"1531","高林股","13.30","7.52","114","-","0.67","114/4",
"1532","勤美","21.80","3.67","114","22.02","0.60","114/4",
"1533","車王電","30.95","0.00","113","53.36","1.33","114/4",
"1535","中宇","51.80","5.79","114","12.95","1.68","114/4",
"1536","和大","51.00","1.57","113","-","1.84","114/4",
"1537","廣隆","124.00","5.81","114","15.60","2.32","114/4",
"1538","正峰","12.65","0.00","113","-","2.96","114/4",
"1539","巨庭","16.40","5.18","113","78.10","0.67","114/4",
"1540","喬福","22.00","4.55","114","19.82","1.27","114/4",
"1541","錩泰","25.65","1.95","113","11.06","0.96","114/4",
"1558","伸興","93.00","5.38","114","16.43","1.16","114/4",
"1560","中砂","521.00","0.96","114","56.39","9.42","114/4",
"1563","巧新","42.45","4.71","114","29.48","1.08","114/4",
"1568","倉佑","25.35","3.94","114","18.64","1.38","114/4",
"1582","信錦","102.00","2.94","114","29.57","2.03","114/4",
"1583","程泰","46.30","2.16","114","-","0.90","114/4",
"1587","吉茂","34.90","1.43","113","94.32","1.78","114/4",
"1590","亞德客-KY","1,185.00","2.41","114","28.21","4.51","114/4",
"1597","直得","115.50","0.61","114","126.92","4.18","114/4",
"1598","岱宇","19.95","2.51","113","-","0.80","114/4",
"1603","華電","32.75","6.11","114","10.05","0.70","114/4",
"1604","聲寶","25.35","5.92","114","14.91","1.07","114/4",
"1605","華新","32.40","1.54","114","45.00","0.87","114/4",
"1608","華榮","33.35","6.00","114","6.06","1.48","114/4",
"1609","大亞","34.00","2.65","113","20.61","1.56","114/4",
"1611","中電","12.30","6.50","114","410.00","0.94","114/4",
"1612","宏泰","35.40","7.06","114","12.78","1.32","114/4",
"1614","三洋電","32.20","3.01","114","33.20","1.46","114/4",
"1615","大山","46.65","5.36","113","9.70","2.08","114/4",
"1616","億泰","23.60","5.76","114","15.23","2.02","114/4",
"1617","榮星","15.55","3.86","114","22.87","1.13","114/4",
"1618","合機","39.05","4.35","114","9.28","1.14","114/4",
"1623","大東電","186.50","4.29","114","13.69","3.80","114/4",
"1626","艾美特-KY","9.99","0.00","113","-","0.54","114/4",
"1702","南僑","37.05","4.32","114","33.08","0.77","114/4",
"1707","葡萄王","118.00","5.08","114","14.36","1.69","114/4",
"1708","東鹼","40.60","3.94","114","12.38","1.37","114/4",
"1709","和益","19.10","5.24","114","15.53","1.02","114/4",
"1710","東聯","13.70","0.00","113","-","1.30","114/4",
"1711","永光","43.65","0.69","113","-","2.92","114/4",
"1712","興農","42.25","5.92","114","16.25","2.07","114/4",
"1713","國化","48.10","6.44","114","12.43","1.91","114/4",
"1714","和桐","9.92","1.81","114","19.84","0.80","114/4",
"1717","長興","79.80","1.25","114","56.60","3.38","114/4",
"1718","中纖","7.04","0.00","113","78.22","0.43","114/4",
"1720","生達","63.50","4.72","114","12.24","1.85","114/4",
"1721","三晃","19.30","0.00","113","-","2.17","114/4",
"1722","台肥","45.75","4.37","114","48.16","0.83","114/4",
"1723","中碳","81.90","2.26","114","30.91","2.43","114/4",
"1725","元禎","30.60","3.50","114","20.00","0.84","114/4",
"1726","永記","75.80","4.88","114","13.78","1.18","114/4",
"1727","中華化","57.10","0.26","114","1,427.50","3.49","114/4",
"1730","花仙子","52.80","5.68","114","11.73","1.63","114/4",
"1731","美吾華","21.90","5.57","114","16.10","1.35","114/4",
"1732","毛寶","26.15","2.29","114","37.90","2.21","114/4",
"1733","五鼎","30.15","4.31","114","18.50","1.61","114/4",
"1734","杏輝","32.00","5.00","114","16.67","1.77","114/4",
"1735","日勝化","29.35","2.21","114","37.63","1.88","114/4",
"1736","喬山","116.00","3.45","113","12.80","2.56","114/4",
"1737","臺鹽","32.20","4.35","114","16.10","0.95","114/4",
"1752","南光","35.80","4.47","114","14.79","1.46","114/4",
"1760","寶齡富錦","63.70","3.14","114","28.69","2.79","114/4",
"1762","中化生","29.85","0.64","113","-","0.74","114/4",
"1773","勝一","157.00","2.55","114","23.05","4.19","114/4",
"1776","展宇","16.25","3.69","114","58.04","1.13","114/4",
"1783","和康生","41.80","1.99","113","14.12","2.44","114/4",
"1786","科妍","63.40","3.01","114","29.22","2.40","114/4",
"1789","神隆","21.20","1.37","114","124.71","1.59","114/4",
"1795","美時","235.00","1.14","114","13.08","2.60","114/4",
"1802","台玻","69.20","0.00","113","-","4.23","114/4",
"1805","寶徠","11.00","0.00","113","57.89","0.91","114/4",
"1806","冠軍","8.36","1.79","114","28.83","0.61","114/4",
"1808","潤隆","29.90","6.69","113","20.48","2.08","114/4",
"1809","中釉","27.30","0.92","114","143.68","1.56","114/4",
"1810","和成","17.35","1.15","114","347.00","0.76","114/4",
"1817","凱撒衛","38.95","5.65","114","10.79","1.26","114/4",
"1903","士紙","49.00","0.00","113","37.98","2.31","114/4",
"1904","正隆","19.05","2.36","114","25.74","0.72","114/4",
"1905","華紙","14.25","0.00","113","-","0.97","114/4",
"1906","寶隆","11.85","0.84","113","1,185.00","0.64","114/4",
"1907","永豐餘","26.30","3.80","114","22.10","0.58","114/4",
"1909","榮成","9.63","0.00","113","-","0.62","114/4",
"2002","中鋼","20.10","0.75","114","-","1.04","114/4",
"2006","東和鋼鐵","70.20","6.13","114","10.85","1.49","114/4",
"2007","燁興","8.03","0.00","113","-","1.01","114/4",
"2008","高興昌","27.10","3.69","114","39.85","1.38","114/4",
"2009","第一銅","40.90","0.98","114","120.29","1.51","114/4",
"2010","春源","25.15","7.95","114","10.84","1.26","114/4",
"2012","春雨","15.85","1.89","114","79.25","1.14","114/4",
"2013","中鋼構","43.75","5.49","114","13.71","1.54","114/4",
"2014","中鴻","18.50","0.00","113","-","2.19","114/4",
"2015","豐興","63.40","5.21","114","16.34","1.63","114/4",
"2017","官田鋼","9.51","0.00","113","-","0.86","114/4",
"2020","美亞","25.15","8.75","113","11.81","1.50","114/4",
"2022","聚亨","8.91","0.00","113","-","0.88","114/4",
"2023","燁輝","14.00","0.00","113","-","0.80","114/4",
"2024","志聯","14.50","0.00","113","-","1.27","114/4",
"2025","千興","11.55","0.00","113","-","1.38","114/4",
"2027","大成鋼","37.45","4.01","114","13.19","1.17","114/4",
"2028","威致","19.25","1.04","114","68.75","1.32","114/4",
"2029","盛餘","20.70","2.90","114","27.97","0.66","114/4",
"2030","彰源","16.50","3.03","114","47.14","0.93","114/4",
"2031","新光鋼","40.70","6.14","114","12.33","1.11","114/4",
