日期,開盤,最高,最低,收盤,漲跌,漲跌%," 均價5"," 均價10"," 均價20"," 均價60"," 均價120"," 成交量"," 均量5"," 融資張數"," 均量5"," 均量10"," 融券張數"," 均量5"," 均量10"," 外資庫存"," 均量5"," 均量10"," 投信庫存"," 均量5"," 均量10"," 自營商庫存"," 均量5"," 均量10"," 法人庫存"," 均量5"," 均量10"," 騰落指標"," 騰落指標"," 未平倉量",
2011/11/04,30.20,30.45,30.10,30.10,0.00,0.00,,,,,,749,,16353.0000,,,249.0000,,,12340,,,943,,,368,,,13652,,,-5017,-5017,0.000,
2011/11/07,30.10,30.40,30.10,30.40,0.30,0.9967,,,,,,598,,16348.0000,,,332.0000,,,12340,,,943,,,0,,,13284,,,-4940,77,0.000,
2011/11/08,30.40,30.65,30.25,30.35,-0.05,-0.1645,,,,,,490,,16304.0000,,,299.0000,,,12322,,,1068,,,366,,,13757,,,-5069,-129,0.000,
2011/11/09,30.45,30.50,30.00,30.00,-0.35,-1.1532,,,,,,495,,16311.0000,,,351.0000,,,12306,,,1068,,,0,,,13375,,,-5322,-253,0.000,
2011/11/10,29.50,29.50,28.50,28.55,-1.45,-4.8333,29.8800,,,,,1276,721,15869.0000,16237.0000,,308.0000,307.8000,,12231,12309,,1069,1018,,293,205,,13594,13532,,-6129,-807,0.000,
2011/11/11,29.00,29.05,28.50,28.70,0.15,0.5254,29.6000,,,,,602,692,15935.0000,16153.4000,,450.0000,348.0000,,12177,12276,,1068,1043,,281,188,,13527,13507,,-5912,217,0.000,
2011/11/14,28.80,29.15,28.80,28.90,0.20,0.6969,29.3000,,,,,530,678,15879.0000,16059.6000,,583.0000,398.2000,,12190,12246,,1068,1068,,0,188,,13259,13502,,-5250,662,0.000,
2011/11/15,28.90,29.15,28.60,28.60,-0.30,-1.0381,28.9500,,,,,350,650,15884.0000,15975.6000,,613.0000,461.0000,,12229,12227,,1066,1068,,273,169,,13569,13465,,-5649,-399,0.000,
2011/11/16,28.70,29.00,28.50,28.60,0.00,0.00,28.6700,,,,,440,639,15853.0000,15884.0000,,655.0000,521.8000,,12235,12213,,1066,1068,,272,224,,13574,13505,,-6218,-569,0.000,
2011/11/17,28.60,28.60,28.30,28.60,0.00,0.00,28.6800,29.2800,,,,453,475,15872.0000,15884.6000,16060.8000,654.0000,591.0000,449.4000,12232,12213,12261,1069,1068,1043,0,165,185,13302,13446,13489,-6274,-56,0.000,
2011/11/18,28.50,28.50,27.85,27.95,-0.65,-2.2727,28.5300,29.0650,,,,491,452,15745.0000,15846.6000,16000.0000,646.0000,630.2000,489.1000,12202,12218,12247,1070,1068,1056,257,160,174,13530,13447,13477,-6877,-603,0.000,
