,股票代號,年度,累計營收_億,累計營收年增_百分比,股本_億,財報評分,年度股價_收盤,年度股價_平均,roe,roa,bps,股利所屬期間,股利合計,年均殖利率_合計,eps,盈餘分配率_合計
0,1103,1997,32.33,,61.20,47.00,23.70,24.50,11.50,4.96,15.67,1997,1.20,5.68,1.61,74.50
1,1103,1998,34.60,7.02,68.60,43.00,15.30,21.10,1.65,0.64,15.64,1998,0.40,3.25,0.24,167.00
2,1103,1999,27.46,-20.60,70.00,40.00,9.85,12.30,0.15,0.05,14.43,1999,0.00,0.00,0.02,0.00
3,1103,2000,28.50,3.80,70.00,36.00,7.00,8.93,-3.48,-1.15,14.30,2000,0.00,0.00,-0.62,0.00
4,1103,2001,22.90,-19.60,70.00,40.00,7.40,6.82,0.26,0.08,14.43,2001,0.00,0.00,0.05,0.00
5,1103,2002,26.48,15.60,70.00,40.00,14.65,10.60,2.70,0.95,13.25,2002,0.00,0.00,0.70,0.00
6,1103,2003,23.40,-11.70,70.00,51.00,20.00,16.40,5.33,2.07,14.71,2003,0.00,0.00,1.36,0.00
7,1103,2004,27.55,17.80,70.00,49.00,15.50,16.90,4.63,1.85,20.06,2004,0.00,0.00,0.76,0.00
8,1103,2005,28.13,2.09,67.50,45.00,12.90,13.40,2.28,0.94,21.29,2005,0.00,0.00,0.44,0.00
9,1103,2006,27.14,-3.51,67.50,68.00,21.40,16.80,20.60,9.90,27.50,2006,0.00,0.00,5.27,0.00
10,1103,2007,29.20,7.58,67.40,57.00,21.60,23.60,6.34,3.68,30.84,2007,1.00,4.89,1.80,55.70
11,1103,2008,25.90,-11.30,72.60,49.00,12.75,20.50,1.34,0.82,27.35,2008,0.00,0.00,0.39,0.00
12,1103,2009,22.73,-12.20,71.80,45.00,18.10,15.70,2.13,1.32,29.05,2009,0.40,2.60,0.72,55.60
13,1103,2010,20.04,-11.80,73.20,45.00,17.20,15.40,2.41,1.49,26.12,2010,0.60,3.67,0.61,98.40
14,1103,2011,8.77,-56.20,75.40,45.00,11.85,16.30,1.76,1.06,25.04,2011,0.50,3.70,0.26,192.00
15,1103,2012,12.84,46.40,77.70,32.00,13.85,13.50,-3.33,-1.93,21.85,2012,0.00,0.00,-1.04,0.00
16,1103,2013,42.68,-10.60,77.70,49.00,15.70,14.20,6.80,4.12,29.56,2013,1.00,6.58,1.97,50.80
17,1103,2014,39.38,-7.73,77.70,38.00,14.15,15.20,0.26,0.16,26.88,2014,0.30,2.51,0.03,1001.00
18,1103,2015,28.27,-28.20,77.70,36.00,9.52,11.90,1.28,0.70,19.23,2015,0.10,1.12,0.34,29.40
19,1103,2016,31.40,11.10,77.50,38.00,8.73,8.94,0.07,0.04,21.92,2016,0.20,1.78,0.04,500.00
20,1103,2017,20.96,-33.30,77.50,49.00,13.35,11.20,5.57,3.59,27.21,2017,0.50,3.79,1.39,36.00
21,1103,2018,20.92,-0.15,77.50,47.00,13.60,13.20,3.83,2.55,29.68,2018,1.00,5.99,1.09,91.70
22,1103,2019,18.84,-9.96,77.50,47.00,22.35,16.70,6.32,3.98,35.40,2019,1.00,5.76,2.02,49.60
23,1103,2020,20.57,9.19,77.50,55.00,19.05,17.40,7.55,4.63,37.61,2020,1.40,6.69,2.74,50.90
24,1103,2021,22.18,7.80,77.50,45.00,20.75,20.90,2.94,1.85,38.74,2021,0.65,3.25,1.02,63.70
