,股票代號,年度,累計營收_億,累計營收年增_百分比,股本_億,財報評分,年度股價_收盤,年度股價_平均,roe,roa,bps,股利所屬期間,股利合計,年均殖利率_合計,eps,盈餘分配率_合計
0,1104,1997,31.86,,42.50,43.00,17.10,20.40,4.27,2.73,13.59,1997,0.50,3.01,0.58,86.20
1,1104,1998,32.92,3.33,42.50,43.00,14.30,16.60,4.77,3.08,13.75,1998,0.40,3.19,0.65,61.50
2,1104,1999,29.19,-11.30,42.50,43.00,9.50,12.50,4.95,3.27,14.03,1999,0.35,4.35,0.69,50.70
3,1104,2000,29.95,2.58,42.50,38.00,6.55,8.04,1.03,0.65,13.33,2000,0.10,1.81,0.14,71.40
4,1104,2001,24.60,-17.80,39.30,32.00,5.75,5.54,-2.58,-1.44,17.71,2001,0.00,0.00,-0.47,0.00
5,1104,2002,27.83,13.10,34.70,40.00,8.30,7.79,0.93,0.50,20.46,2002,0.70,6.66,0.18,389.00
6,1104,2003,30.66,10.20,37.10,45.00,13.65,10.50,7.39,4.12,20.48,2003,1.20,9.36,1.47,81.60
7,1104,2004,36.64,19.50,41.60,38.00,12.95,12.80,7.73,4.46,19.42,2004,1.10,9.61,1.32,83.30
8,1104,2005,34.80,-5.01,45.90,36.00,10.60,11.40,6.34,3.74,21.00,2005,1.10,9.83,1.27,86.60
9,1104,2006,32.16,-7.58,50.80,34.00,13.40,11.20,6.34,3.88,21.03,2006,1.00,6.99,1.25,80.00
10,1104,2007,28.02,-12.90,55.90,34.00,12.55,14.30,3.63,2.29,20.31,2007,0.80,4.36,0.72,111.00
11,1104,2008,28.05,0.11,60.40,30.00,12.75,18.40,0.43,0.27,19.06,2008,0.00,0.00,0.09,0.00
12,1104,2009,32.68,16.50,60.40,36.00,17.50,15.00,5.55,3.37,20.48,2009,0.50,3.03,1.15,43.50
13,1104,2010,31.44,-3.81,60.40,40.00,18.50,16.50,9.65,6.51,20.86,2010,1.00,5.92,1.99,50.30
14,1104,2011,33.25,5.77,60.40,40.00,13.30,16.90,3.06,2.38,21.31,2011,0.60,4.26,0.65,92.30
15,1104,2012,34.52,3.79,60.40,45.00,16.00,14.10,5.33,4.43,21.87,2012,0.75,3.62,1.16,64.90
16,1104,2013,52.76,9.32,60.40,49.00,28.25,20.70,8.06,6.65,23.79,2013,1.10,3.87,1.84,59.80
17,1104,2014,58.20,10.30,61.60,49.00,25.80,28.40,9.13,7.46,25.39,2014,1.20,4.69,2.26,53.10
18,1104,2015,51.64,-11.30,62.80,53.00,22.50,25.60,8.70,7.03,25.23,2015,1.10,4.90,2.22,49.50
19,1104,2016,46.22,-10.50,63.50,57.00,24.65,22.50,10.40,8.35,25.63,2016,1.50,6.15,2.68,56.00
20,1104,2017,44.05,-4.69,65.40,55.00,22.95,24.40,8.28,6.68,26.07,2017,1.10,5.30,2.16,50.90
21,1104,2018,47.81,8.52,65.40,47.00,18.90,20.80,6.01,4.80,27.10,2018,1.00,5.20,1.62,61.70
22,1104,2019,50.06,4.70,65.40,47.00,19.60,19.20,6.35,4.97,27.51,2019,1.00,5.31,1.74,57.50
23,1104,2020,54.26,8.39,65.40,49.00,23.20,18.80,6.83,5.30,28.54,2020,1.10,4.96,1.91,57.60
24,1104,2021,60.79,12.00,65.40,47.00,21.60,22.20,5.84,4.53,29.43,2021,1.00,4.72,1.66,60.20
