,股票代號,年度,累計營收_億,累計營收年增_百分比,股本_億,財報評分,年度股價_收盤,年度股價_平均,roe,roa,bps,股利所屬期間,股利合計,年均殖利率_合計,eps,盈餘分配率_合計
0,1102,1997,152.40,,152.00,49.00,38.50,44.70,12.60,7.90,21.90,1997,2.00,6.24,2.63,76.00
1,1102,1998,142.50,-6.51,167.00,43.00,30.30,32.10,8.48,5.23,20.24,1998,1.50,5.80,1.70,88.20
2,1102,1999,124.10,-12.90,187.00,45.00,27.60,25.90,9.70,6.08,19.58,1999,1.50,6.74,1.83,82.00
3,1102,2000,109.10,-12.10,204.00,32.00,18.30,22.30,0.50,0.31,16.77,2000,0.50,4.09,0.09,556.00
4,1102,2001,99.58,-8.68,204.00,34.00,10.65,12.20,0.90,0.48,16.26,2001,0.20,1.72,0.15,133.00
5,1102,2002,111.30,11.70,204.00,34.00,13.20,11.60,3.40,1.66,17.15,2002,0.50,3.41,0.57,87.70
6,1102,2003,95.69,-14.00,204.00,38.00,18.10,14.70,8.85,4.33,19.66,2003,1.30,6.35,1.63,79.80
7,1102,2004,104.00,8.74,217.00,47.00,22.40,20.50,14.90,7.76,20.77,2004,2.00,10.10,2.97,67.30
8,1102,2005,107.50,3.29,234.00,49.00,19.45,19.90,13.30,7.34,21.38,2005,2.00,8.22,2.82,70.90
9,1102,2006,108.10,0.59,253.00,51.00,31.00,24.30,12.50,7.11,23.57,2006,2.30,5.65,2.85,80.70
10,1102,2007,107.50,-0.61,273.00,51.00,47.40,40.70,14.60,8.59,26.45,2007,3.00,7.23,3.69,81.30
11,1102,2008,105.20,-2.14,290.00,49.00,28.45,41.50,9.74,5.49,22.37,2008,2.10,6.28,2.52,83.30
12,1102,2009,99.62,-5.26,299.00,53.00,34.60,33.50,10.80,5.82,25.15,2009,2.10,6.84,2.64,79.50
13,1102,2010,97.57,-2.05,308.00,45.00,32.25,30.70,9.30,5.01,25.57,2010,2.10,5.88,2.50,84.00
14,1102,2011,108.70,11.40,314.00,51.00,34.00,35.70,12.60,6.75,27.53,2011,2.60,7.17,3.19,81.50
15,1102,2012,117.60,8.19,323.00,36.00,37.35,36.30,5.69,3.01,26.21,2012,1.90,5.08,1.57,121.00
16,1102,2013,702.20,9.98,330.00,45.00,38.60,37.40,9.51,5.33,26.99,2013,2.00,5.09,3.42,58.60
17,1102,2014,777.60,10.70,336.00,43.00,39.00,39.30,6.93,4.00,42.19,2014,2.20,6.23,2.98,73.80
18,1102,2015,664.40,-14.60,336.00,38.00,27.40,35.30,3.12,1.78,40.43,2015,1.10,4.00,1.55,71.00
19,1102,2016,609.70,-8.22,336.00,40.00,26.35,27.50,3.17,1.84,36.49,2016,0.90,3.24,1.26,71.40
20,1102,2017,649.00,6.43,336.00,43.00,28.20,27.70,4.65,2.75,37.91,2017,1.20,3.52,1.74,69.00
21,1102,2018,827.50,27.50,336.00,51.00,33.95,34.10,9.77,5.66,41.02,2018,2.80,6.57,3.54,79.10
22,1102,2019,893.40,7.96,336.00,57.00,47.95,42.60,13.50,7.72,43.45,2019,3.00,6.94,5.56,54.00
23,1102,2020,782.40,-12.40,336.00,57.00,43.20,43.20,11.10,6.32,43.96,2020,3.46,7.47,4.70,73.70
24,1102,2021,893.90,14.20,355.00,53.00,44.30,46.30,10.00,5.71,44.26,2021,3.40,7.40,4.70,72.30
