,股票代號,股票名稱,年度,累計營收_億,累計營收年增_百分比,股本_億,財報評分,年度股價_收盤,年度股價_平均,roe,roa,bps,股利所屬期間,股利合計,年均殖利率_合計,eps,盈餘分配率_合計
0,3209,全科               ,2021,471.30,12.30,20.10,30.00,29.40,28.20,21.40,5.54,18.44,2021,3.20,9.09,4.05,79.00
1,3209,全科               ,2020,419.60,6.03,18.90,32.00,23.25,20.10,14.10,3.82,16.87,2020,2.00,7.10,2.51,79.70
2,3209,全科               ,2019,395.70,24.40,18.00,28.00,21.15,18.90,10.40,2.64,15.93,2019,1.28,6.35,1.66,77.00
3,3209,全科               ,2018,318.00,0.48,17.00,26.00,17.10,19.30,8.09,1.93,15.60,2018,1.20,6.35,1.25,96.00
4,3209,全科               ,2017,316.40,12.70,16.10,28.00,20.10,24.00,11.80,2.57,15.66,2017,1.30,6.75,1.94,67.00
5,3209,全科               ,2016,280.70,15.20,13.90,26.00,24.30,26.90,11.90,2.79,15.52,2016,1.60,6.65,1.80,88.90
6,3209,全科               ,2015,243.60,9.41,11.90,34.00,25.35,28.30,19.90,5.81,17.19,2015,2.80,10.40,3.34,83.80
7,3209,全科               ,2014,222.60,16.00,10.40,34.00,31.10,28.60,17.00,4.91,17.12,2014,2.80,9.88,3.11,90.00
8,3209,全科               ,2013,191.80,13.00,9.75,27.00,22.20,21.00,11.00,3.02,16.32,2013,2.15,7.52,2.07,104.00
9,3209,全科               ,2012,120.40,26.70,9.47,23.00,21.30,23.60,3.71,1.04,15.32,2012,0.90,4.29,1.04,86.30
10,3209,全科               ,2011,94.98,0.96,8.58,27.00,20.45,30.60,13.40,3.80,16.94,2011,2.10,8.91,2.44,86.10
11,3209,全科               ,2010,94.07,57.60,6.77,27.00,40.20,32.60,22.70,6.89,16.78,2010,3.00,9.80,3.45,87.00
12,3209,全科               ,2009,59.69,-3.61,6.42,32.00,24.15,19.30,14.30,5.28,15.33,2009,1.90,5.83,2.13,89.20
13,3209,全科               ,2008,61.93,17.80,6.11,27.00,12.30,16.90,15.80,6.49,15.31,2008,1.90,9.86,2.33,81.50
14,3209,全科               ,2007,52.56,-4.74,5.59,34.00,17.95,22.30,14.20,6.55,15.16,2007,1.60,9.47,2.16,74.10
15,3209,全科               ,2006,55.17,38.10,5.05,34.00,24.35,25.80,14.20,6.97,15.28,2006,1.52,6.81,2.14,71.00
16,3209,全科               ,2005,39.94,53.00,4.30,38.00,31.40,27.90,20.40,9.73,16.58,2005,2.50,9.71,3.02,82.80
17,3209,全科               ,2004,26.11,82.50,3.34,32.00,19.60,21.90,18.80,9.11,15.08,2004,2.00,7.17,2.71,73.80
18,3209,全科               ,2003,14.31,53.00,3.01,40.00,-1,-1,15.70,8.34,14.80,2003,1.80,8.23,2.16,83.30
19,3209,全科               ,2002,9.35,-1,2.60,43.00,-1,-1,12.00,6.34,14.75,2002,1.50,-1,1.57,95.50
