日期:2026/09/01 『成交不含鉅額交易、盤後定價、零股』
================================================================================================================
代號      名稱                      開盤      最高      最低      收盤      漲跌    成交量    漲停價    跌停價
----------------------------------------------------------------------------------------------------------------
00400A    主動國泰動能高息       15.1400   15.4700   15.1200   15.3700  ▲0.3900     58520   16.4700   13.4900
00401A    主動摩根台灣鑫收       13.7900   14.2200   13.7900   14.1900  ▲0.4600     15336   15.1000   12.3600
00402A    主動安聯美國科技        9.5500    9.5700    9.5000    9.5100  ▼0.0400      4117 9999.9500    0.0100
00403A    主動統一升級50         10.3100   10.5100   10.2900   10.4500  ▲0.2300    439825   11.2400    9.2000
00404A    主動聯博動能50          9.6500    9.9000    9.6500    9.8600  ▲0.2600      9731   10.5600    8.6400
00405A    主動富邦台灣龍耀        8.8300    9.0100    8.7900    8.9300  ▲0.1800    115429    9.6200    7.8800
00406A    主動中信台灣收益        9.7600   10.0000    9.7400    9.9600  ▲0.2900    293129   10.6300    8.7100
00407A    主動凱基台灣            9.8400   10.0400    9.8300    9.9900  ▲0.2300    132679   10.7300    8.7900
00408A    主動第一金優股息       10.5300   10.6700   10.5300   10.6500  ▲0.1500      4104   11.5500    9.4500
00410A    主動永豐科技趨勢       12.3000   12.6100   12.3000   12.5700  ▲0.3500     11666   13.4400   11.0000
0050      元大台灣50            106.5000  108.7000  106.5000  108.4500  ▲2.2000    104653  116.8500   95.6500
0051      元大中型100           146.9500  147.6000  146.9500  147.4500  ▲2.7000        55  159.2000  130.3000
0052      富邦科技               62.2500   63.3000   62.2000   63.0500  ▲1.2000     22602   68.0000   55.7000
0053      元大電子              246.0000  247.1500  245.1000  246.3500  ▲5.9000        49  264.4500  216.4500
0054      元大台商50              0.0000    0.0000    0.0000    0.0000    0.0000         0    0.0000    0.0000
0055      元大MSCI金融           46.4000   46.8000   46.3600   46.6000  ▲0.6500       342   50.5000   41.3600
0056      元大高股息             54.8000   55.1500   54.6000   54.8500  ▲0.2500     27488   60.0500   49.1400
0057      富邦摩台              323.0000  323.1500  322.2500  322.6500  ▲6.0500         9  348.2500  284.9500
0058      富邦發達                0.0000    0.0000    0.0000    0.0000    0.0000         0    0.0000    0.0000
0059      富邦金融                0.0000    0.0000    0.0000    0.0000    0.0000         0    0.0000    0.0000
0060      新台灣                  0.0000    0.0000    0.0000    0.0000    0.0000         0    0.0000    0.0000
0061      元大寶滬深             24.4400   24.4700   24.3100   24.4700  ▲0.2100        66 9999.9500    0.0100
