日期:2026/09/24 『成交不含鉅額交易、盤後定價、零股』
================================================================================================================
代號      名稱                      開盤      最高      最低      收盤      漲跌    成交量    漲停價    跌停價
----------------------------------------------------------------------------------------------------------------
00400A    主動國泰動能高息       15.5500   15.6600   15.4700   15.6600  ▲0.0900     22591   17.1200   14.0200
00401A    主動摩根台灣鑫收       14.2800   14.3200   14.2400   14.2800  ▼0.0400      6411   15.7500   12.8900
00402A    主動安聯美國科技       10.0200   10.0600   10.0200   10.0300  ▼0.0500      9424 9999.9500    0.0100
00403A    主動統一升級50         10.7400   10.8900   10.7400   10.8800  ▲0.0700    283767   11.8900    9.7300
00404A    主動聯博動能50          9.8400    9.8700    9.8000    9.8600  ▼0.0200      5878   10.8600    8.9000
00405A    主動富邦台灣龍耀        9.3500    9.4000    9.2900    9.3900  ▲0.0300     70738   10.2900    8.4300
00406A    主動中信台灣收益        9.8900   10.0000    9.8500   10.0000  ▲0.0800    233529   10.9100    8.9300
00407A    主動凱基台灣           10.0700   10.1700   10.0500   10.1600  ▲0.0400     51915   11.1300    9.1100
00408A    主動第一金優股息       10.4900   10.5500   10.4300   10.5500  ▲0.0400      1459   11.5600    9.4600
00409A    主動復華全球50         10.1000   10.1600   10.0900   10.1500  ▲0.0100     29189 9999.9500    0.0100
00410A    主動永豐科技趨勢       12.3400   12.4000   12.2100   12.4000  ▲0.0600      2594   13.5700   11.1100
0050      元大台灣50            112.0000  112.4500  111.7500  112.4000  ▼0.0500     66000  123.6500  101.2500
0051      元大中型100           147.0000  148.1500  145.7000  148.1500  ▲1.1500        55  161.7000  132.3000
0052      富邦科技               65.1000   65.4500   64.9000   65.4000  ▼0.0500      9659   71.9500   58.9500
0053      元大電子              252.8000  253.3000  251.8500  253.3000  ▲0.3000       140  278.3000  227.7000
0054      元大台商50              0.0000    0.0000    0.0000    0.0000    0.0000         0    0.0000    0.0000
0055      元大MSCI金融           49.8600   49.8600   49.4000   49.5400  ▼0.3400       514   54.8500   44.9000
0056      元大高股息             56.3500   56.6500   56.0000   56.6500  ▲0.0500     21802   62.2500   50.9500
0057      富邦摩台              333.4000  334.3000  332.4000  333.5000  ▼1.7000        26  368.7000  301.7000
0058      富邦發達                0.0000    0.0000    0.0000    0.0000    0.0000         0    0.0000    0.0000
0059      富邦金融                0.0000    0.0000    0.0000    0.0000    0.0000         0    0.0000    0.0000
0060      新台灣                  0.0000    0.0000    0.0000    0.0000    0.0000         0    0.0000    0.0000
0061      元大寶滬深             24.0000   24.1000   23.8600   24.1000  ▼0.0200        87 9999.9500    0.0100
006203    元大MSCI台灣          203.8000  203.8000  203.2000  203.2000  ▼0.2500         3  223.7500  183.1500
006204    永豐臺灣加權          239.2500  239.2500  238.4500  238.4500  ▼1.1000        21  263.5000  215.6000
006205    富邦上証               40.2300   40.3500   39.8200   39.8200  ▼0.3500       157 9999.9500    0.0100
006206    元大上證50             37.6400   37.6400   37.2100   37.2100  ▼0.4400         8 9999.9500    0.0100
006207    復華滬深               31.7600   31.7800   31.7000   31.7000  ▼0.3400       145 9999.9500    0.0100
006208    富邦台50              256.5000  256.8500  255.5500  256.8500  ▼0.1500       761  282.7000  231.3000
