日期:2026/08/03 『成交不含鉅額交易、盤後定價、零股』
================================================================================================================
代號      名稱                      開盤      最高      最低      收盤      漲跌    成交量    漲停價    跌停價
----------------------------------------------------------------------------------------------------------------
00400A    主動國泰動能高息       12.9300   13.3700   12.9300   13.2500  ▲0.3100     54662   14.2300   11.6500
00401A    主動摩根台灣鑫收       12.5500   12.8300   12.4700   12.7500  ▲0.2000      9512   13.8000   11.3000
00402A    主動安聯美國科技        9.5100    9.5100    9.3900    9.4900  ▼0.0200      2157 9999.9500    0.0100
00403A    主動統一升級50          9.2000    9.4900    9.2000    9.3900  ▲0.1400    351302   10.1700    8.3300
00404A    主動聯博動能50          9.2200    9.3600    9.1400    9.2700  ▲0.0100      5152   10.1800    8.3400
00405A    主動富邦台灣龍耀        7.3000    7.7700    7.3000    7.6600  ▲0.3600    178753    8.0300    6.5700
00406A    主動中信台灣收益        8.5900    8.9000    8.5500    8.8100  ▲0.2200     65460    9.4400    7.7400
00407A    主動凱基台灣            8.5100    8.8400    8.5100    8.7400  ▲0.2600     51427    9.3200    7.6400
00408A    主動第一金優股息        9.7600    9.9100    9.7400    9.8100  ▲0.0500      2387   10.7300    8.7900
00410A    主動永豐科技趨勢        9.9800   10.2200    9.9100   10.1000  ▲0.0500    140874   11.0500    9.0500
0050      元大台灣50            102.0000  102.7000  101.0000  102.0000  ▼0.8500    161548  113.1000   92.6000
0051      元大中型100           129.2500  134.4000  129.2500  133.8500  ▼0.1000        44  147.3000  120.6000
0052      富邦科技               58.8000   59.8000   58.5500   59.1500  ▼0.5500     19807   65.6500   53.7500
0053      元大電子              227.1000  229.7500  225.8000  228.8000  ▲1.4500        71  250.0500  204.6500
0054      元大台商50              0.0000    0.0000    0.0000    0.0000    0.0000         0    0.0000    0.0000
0055      元大MSCI金融           44.4800   44.4800   43.5200   44.1500  ▼0.5400       688   49.1500   40.2300
0056      元大高股息             49.1700   50.1000   48.8500   49.8200  ▲0.3400     36867   54.4000   44.5400
0057      富邦摩台              305.1500  305.1500  303.8000  303.8000  ▼2.3000        41  336.7000  275.5000
0058      富邦發達                0.0000    0.0000    0.0000    0.0000    0.0000         0    0.0000    0.0000
0059      富邦金融                0.0000    0.0000    0.0000    0.0000    0.0000         0    0.0000    0.0000
0060      新台灣                  0.0000    0.0000    0.0000    0.0000    0.0000         0    0.0000    0.0000
0061      元大寶滬深             24.8900   24.8900   24.2800   24.4600  ▼0.4300       754 9999.9500    0.0100
006203    元大MSCI台灣          185.0000  187.2000  184.7000  185.6500  ▲0.9000        37  203.2000  166.3000
006204    永豐臺灣加權          215.5500  215.5500  215.5000  215.5000  ▲0.1500        91  236.8500  193.8500
