日期:2026/08/21 『成交不含鉅額交易、盤後定價、零股』
================================================================================================================
代號      名稱                      開盤      最高      最低      收盤      漲跌    成交量    漲停價    跌停價
----------------------------------------------------------------------------------------------------------------
00400A    主動國泰動能高息       14.6100   14.6100   14.2900   14.4600  ▼0.2000     36720   16.1200   13.2000
00401A    主動摩根台灣鑫收       13.3500   13.3600   13.2000   13.3400  ▼0.0100      2842   14.6800   12.0200
00402A    主動安聯美國科技        9.6200    9.6200    9.5700    9.5900  ▼0.0500      2743 9999.9500    0.0100
00403A    主動統一升級50         10.0000   10.0200    9.8600    9.9200  ▼0.1100     99278   11.0300    9.0300
00404A    主動聯博動能50          9.4300    9.4900    9.3600    9.4300    0.0000      2454   10.3700    8.4900
00405A    主動富邦台灣龍耀        8.5000    8.5100    8.2900    8.3400  ▼0.2300     77574    9.4200    7.7200
00406A    主動中信台灣收益        9.5800    9.5800    9.3900    9.4300  ▼0.1500    185707   10.5300    8.6300
00407A    主動凱基台灣            9.4900    9.5200    9.3500    9.4100  ▼0.1300     30318   10.4900    8.5900
00408A    主動第一金優股息       10.3300   10.3300   10.2000   10.2300  ▼0.1200      1155   11.3800    9.3200
00410A    主動永豐科技趨勢       11.2600   11.3300   11.1000   11.1700  ▼0.1400      3774   12.4400   10.1800
0050      元大台灣50            103.8000  104.8000  103.2000  104.6500  ▲0.8500     38874  114.1500   93.4500
0051      元大中型100           141.8000  142.7000  141.2000  142.0000  ▲0.2000        17  155.9500  127.6500
0052      富邦科技               60.4500   61.1000   60.2000   60.8500  ▲0.4000      8716   66.4500   54.4500
0053      元大電子              235.5000  238.9500  235.5000  238.9500  ▲2.5000        22  260.0500  212.8500
0054      元大台商50              0.0000    0.0000    0.0000    0.0000    0.0000         0    0.0000    0.0000
0055      元大MSCI金融           43.1200   44.2400   43.0900   44.1700  ▲1.0500       377   47.4300   38.8100
0056      元大高股息             52.0500   52.4500   51.8000   52.4000  ▲0.3500     13080   57.2500   46.8500
0057      富邦摩台              311.1500  312.0000  311.0500  312.0000  ▲2.2500         4  340.7000  278.8000
0058      富邦發達                0.0000    0.0000    0.0000    0.0000    0.0000         0    0.0000    0.0000
0059      富邦金融                0.0000    0.0000    0.0000    0.0000    0.0000         0    0.0000    0.0000
0060      新台灣                  0.0000    0.0000    0.0000    0.0000    0.0000         0    0.0000    0.0000
0061      元大寶滬深             24.0000   24.5200   24.0000   24.4100  ▲0.0200        67 9999.9500    0.0100
006203    元大MSCI台灣          189.6000  190.3000  188.6000  190.3000  ▲1.6000         4  207.5500  169.8500
006204    永豐臺灣加權          223.2500  225.0000  223.2500  225.0000  ▲1.8000         3  245.5000  200.9000
006205    富邦上証               40.5000   40.7600   40.4600   40.5000  ▼0.0900       426 9999.9500    0.0100
006206    元大上證50             37.4500   37.5700   37.3300   37.5000    0.0000        61 9999.9500    0.0100
006207    復華滬深               32.6600   32.6600   32.6000   32.6000  ▲0.1100       214 9999.9500    0.0100
006208    富邦台50              237.8000  239.7000  236.4000  239.3000  ▲1.4500       830  261.6000  214.1000
00625K    富邦上証+R              8.6800    8.6800    8.6800    8.6800    0.0000         0 9999.9500    0.0100
00631L    元大台灣50正2          34.2300   34.8900   33.9000   34.8400  ▲0.5700    113212   41.1200   27.4200
00632R    元大台灣50反1          10.2400   10.2800   10.1300   10.1500  ▼0.0700    144311   11.2400    9.2000
00633L    富邦上証正2            48.2200   49.2900   48.1100   49.0100  ▲0.7900      2911 9999.9500    0.0100
00634R    富邦上証反1             3.1100    3.1200    3.0900    3.1000  ▼0.0200       838 9999.9500    0.0100
00635U    期元大S&P黃金          46.7600   47.0600   46.7400   46.9600  ▲0.4500      4469 9999.9500    0.0100
00636     國泰中國A50            27.7900   28.0900   27.7900   28.0100  ▲0.2200       425 9999.9500    0.0100
00636K    國泰中國A50+U           8.8200    8.8200    8.8200    8.8200  ▲0.0700         2 9999.9500    0.0100
00637L    元大滬深300正2         19.9700   20.3600   19.9000   20.2500  ▲0.3000     12336 9999.9500    0.0100
00638R    元大滬深300反1          6.7000    6.7000    6.6400    6.6500  ▼0.0600        44 9999.9500    0.0100
00639     富邦深100              16.7300   17.0100   16.7000   16.9400  ▲0.1900       938 9999.9500    0.0100
00640L    富邦日本正2           105.4500  106.7000  105.0000  106.6000  ▲0.7000        36 9999.9500    0.0100
00641R    富邦日本反1             3.7400    3.7500    3.7000    3.7100  ▼0.0100      1062 9999.9500    0.0100
00642U    期元大S&P石油          28.7400   28.9100   28.6600   28.7500  ▲0.6500      2943 9999.9500    0.0100
00643     群益深証中小           18.5200   18.7400   18.4300   18.6300  ▲0.0600      2538 9999.9500    0.0100
