日期:2026/09/15 『成交不含鉅額交易、盤後定價、零股』
================================================================================================================
代號      名稱                      開盤      最高      最低      收盤      漲跌    成交量    漲停價    跌停價
----------------------------------------------------------------------------------------------------------------
00400A    主動國泰動能高息       14.6400   14.6800   14.3900   14.4200  ▼0.3000     29477   16.1900   13.2500
00401A    主動摩根台灣鑫收       13.8600   13.9000   13.7200   13.7600  ▼0.1100      3848   15.2500   12.4900
00402A    主動安聯美國科技        9.4400    9.4500    9.4000    9.4000  ▼0.0400      4166 9999.9500    0.0100
00403A    主動統一升級50         10.0400   10.1300    9.9500    9.9500  ▼0.1400    128115   11.0900    9.0900
00404A    主動聯博動能50          9.8000    9.8200    9.7000    9.7200  ▼0.0800     29551   10.7800    8.8200
00405A    主動富邦台灣龍耀        8.5200    8.5600    8.3100    8.3200  ▼0.2400     48790    9.4100    7.7100
00406A    主動中信台灣收益        9.3700    9.4400    9.2700    9.2800  ▼0.1100    170547   10.3200    8.4600
00407A    主動凱基台灣            9.4200    9.4700    9.2600    9.2700  ▼0.1900     21152   10.4000    8.5200
00408A    主動第一金優股息       10.2000   10.2400   10.1000   10.1100  ▼0.1100       526   11.2400    9.2000
00409A    主動復華全球50          9.5300    9.5800    9.4700    9.4900  ▼0.0400      9699 9999.9500    0.0100
00410A    主動永豐科技趨勢       11.6000   11.6700   11.4200   11.4200  ▼0.2600      4864   12.8400   10.5200
0050      元大台灣50            106.7500  106.9500  106.1500  106.2500  ▼0.6500     55442  117.5500   96.2500
0051      元大中型100           142.9500  143.0500  141.0000  141.0000  ▼2.4500       104  157.7500  129.1500
0052      富邦科技               61.7000   62.1000   61.5000   61.6000  ▼0.3000      9893   68.0500   55.7500
0053      元大電子              237.5500  239.5500  237.3500  237.3500  ▼1.6000       244  262.8000  215.1000
0054      元大台商50              0.0000    0.0000    0.0000    0.0000    0.0000         0    0.0000    0.0000
0055      元大MSCI金融           50.6000   50.6500   49.6100   49.7600  ▼0.5400      1096   55.3000   45.2700
0056      元大高股息             55.2000   55.2500   54.8500   55.0000  ▼0.4000     23336   60.9000   49.8600
0057      富邦摩台              318.3500  319.6000  317.5000  317.5000  ▼0.8500         9  350.1500  286.5500
0058      富邦發達                0.0000    0.0000    0.0000    0.0000    0.0000         0    0.0000    0.0000
0059      富邦金融                0.0000    0.0000    0.0000    0.0000    0.0000         0    0.0000    0.0000
0060      新台灣                  0.0000    0.0000    0.0000    0.0000    0.0000         0    0.0000    0.0000
0061      元大寶滬深             23.7700   23.9900   23.7700   23.9100  ▼0.0400        62 9999.9500    0.0100
006203    元大MSCI台灣          194.5500  194.5500  192.9500  192.9500  ▼1.6500        15  214.0500  175.1500
006204    永豐臺灣加權          229.0000  229.0000  228.0000  228.0000  ▼2.1000        24  253.1000  207.1000
006205    富邦上証               39.9000   40.0100   39.8000   39.8700  ▲0.0500        69 9999.9500    0.0100
006206    元大上證50             37.2500   37.3000   37.0200   37.2400  ▲0.0500        26 9999.9500    0.0100
006207    復華滬深               31.8200   31.8200   31.7300   31.7300  ▲0.0100       104 9999.9500    0.0100
006208    富邦台50              244.4000  245.0000  243.2000  243.5000  ▼1.1500      1505  269.1000  220.2000
00625K    富邦上証+R              8.4400    8.4400    8.4400    8.4400    0.0000         0 9999.9500    0.0100
00631L    元大台灣50正2          35.4000   35.5900   35.0600   35.0900  ▼0.3100     99224   42.4800   28.3200
00632R    元大台灣50反1           9.9800   10.0300    9.9500   10.0300  ▲0.0600     88479   10.9600    8.9800
00633L    富邦上証正2            47.0000   47.3000   46.4500   46.5700  ▼0.4300      4036 9999.9500    0.0100
00634R    富邦上証反1             3.1700    3.1900    3.1600    3.1800  ▲0.0200       209 9999.9500    0.0100
00635U    期元大S&P黃金          44.3300   44.5700   44.3000   44.4000  ▼0.2400      1350 9999.9500    0.0100
00636     國泰中國A50            27.2200   27.2500   27.0200   27.0300  ▼0.1500       159 9999.9500    0.0100
00636K    國泰中國A50+U           8.5500    8.5500    8.5500    8.5500  ▼0.0500         2 9999.9500    0.0100
00637L    元大滬深300正2         19.4500   19.5100   19.2100   19.2600  ▼0.0900     22139 9999.9500    0.0100
00638R    元大滬深300反1          6.7700    6.8000    6.7700    6.8000  ▲0.0600        41 9999.9500    0.0100
00639     富邦深100              15.8900   15.9700   15.7800   15.8000  ▼0.0600       579 9999.9500    0.0100
00640L    富邦日本正2           105.1000  105.4000  103.6000  104.3500  ▼0.4500        76 9999.9500    0.0100
00641R    富邦日本反1             3.7200    3.7500    3.7100    3.7400  ▲0.0100       364 9999.9500    0.0100
00642U    期元大S&P石油          33.6600   33.9200   33.5000   33.9200  ▲0.3000      1987 9999.9500    0.0100
00643     群益深証中小           17.8500   18.0000   17.7900   17.8700  ▲0.0300      2363 9999.9500    0.0100
00643K    群益深証中小+R          3.7800    3.7800    3.7800    3.7800  ▲0.0100         5 9999.9500    0.0100
00645     富邦日本               57.2000   57.3500   56.8500   57.0500  ▼0.2000        88 9999.9500    0.0100
00646     元大S&P500             76.2000   76.4000   76.1000   76.2000  ▲0.0500      1349 9999.9500    0.0100
00647L    元大S&P500正2         135.8500  135.8500  135.8000  135.8000  ▲0.4000        10 9999.9500    0.0100
00648R    元大S&P500反1           3.9700    3.9700    3.9500    3.9700  ▲0.0100       174 9999.9500    0.0100
00649     FH香港                  0.0000    0.0000    0.0000    0.0000    0.0000         0    0.0000    0.0000
00650L    復華香港正2            16.5000   16.5700   16.2700   16.2700  ▼0.1400       758 9999.9500    0.0100
00651R    復華香港反1             5.2800    5.3000    5.2700    5.3000  ▲0.0400        50 9999.9500    0.0100
00652     富邦印度               32.1600   32.2200   31.9000   31.9300  ▼0.2000       109 9999.9500    0.0100
00653L    富邦印度正2            43.7000   43.8500   43.1300   43.1500  ▼0.4200       612 9999.9500    0.0100
00654R    富邦印度反1             6.9200    6.9900    6.9200    6.9900  ▲0.0700        21 9999.9500    0.0100
00655L    國泰中國A50正2         32.7600   32.8500   32.3300   32.3900  ▼0.2600       785 9999.9500    0.0100
00656R    國泰中國A50反1          5.9400    5.9400    5.9400    5.9400  ▲0.0100         2 9999.9500    0.0100
00657     國泰日經225            75.5500   76.1000   75.2500   75.2500    0.0000        85 9999.9500    0.0100
00657K    國泰日經225+U          23.7600   23.7600   23.7600   23.7600  ▲0.0600         2 9999.9500    0.0100
00658L    國泰日本正2             0.0000    0.0000    0.0000    0.0000    0.0000         0    0.0000    0.0000
00659R    國泰日本反1             0.0000    0.0000    0.0000    0.0000    0.0000         0    0.0000    0.0000
00660     元大歐洲50             46.0000   46.0000   45.8300   45.9600  ▼0.1200         4 9999.9500    0.0100
00661     元大日經225            82.5000   83.1000   82.1500   82.2000  ▼0.0500       282 9999.9500    0.0100
00662     富邦NASDAQ            118.6500  119.2000  118.5000  118.5500  ▲0.4000      1827 9999.9500    0.0100
00663L    國泰臺灣加權正2       102.0000  102.5500  101.0000  101.0000  ▼1.2500      3524  122.7000   81.8000
