日期:2026/08/24 『成交不含鉅額交易、盤後定價、零股』
================================================================================================================
代號      名稱                      開盤      最高      最低      收盤      漲跌    成交量    漲停價    跌停價
----------------------------------------------------------------------------------------------------------------
00400A    主動國泰動能高息       14.4600   14.5600   14.3000   14.3100  ▼0.1500     24604   15.9000   13.0200
00401A    主動摩根台灣鑫收       13.3100   13.4000   13.2200   13.2400  ▼0.1000      4579   14.6700   12.0100
00402A    主動安聯美國科技        9.5900    9.5900    9.4800    9.4900  ▼0.1000      3469 9999.9500    0.0100
00403A    主動統一升級50          9.9200   10.0300    9.8700    9.8700  ▼0.0500    104530   10.9100    8.9300
00404A    主動聯博動能50          9.4600    9.5500    9.4500    9.4500  ▲0.0200      2875   10.3700    8.4900
00405A    主動富邦台灣龍耀        8.3500    8.4300    8.1900    8.1900  ▼0.1500     49993    9.1700    7.5100
00406A    主動中信台灣收益        9.4400    9.5200    9.3500    9.3600  ▼0.0700    201164   10.3700    8.4900
00407A    主動凱基台灣            9.4100    9.5000    9.3300    9.3400  ▼0.0700     14838   10.3500    8.4700
00408A    主動第一金優股息       10.2700   10.3300   10.2000   10.2100  ▼0.0200       910   11.2500    9.2100
00410A    主動永豐科技趨勢       11.1700   11.3000   11.0400   11.0400  ▼0.1300      2746   12.2800   10.0600
0050      元大台灣50            104.6500  104.8000  103.8000  103.8000  ▼0.8500     40371  115.1000   94.2000
0051      元大中型100           142.5500  143.6000  141.7500  142.3500  ▲0.3500        25  156.2000  127.8000
0052      富邦科技               60.9000   61.1500   60.5500   60.5500  ▼0.3000      7469   66.9000   54.8000
0053      元大電子              238.9500  239.9500  237.5000  239.9500  ▲1.0000        80  262.8000  215.1000
0054      元大台商50              0.0000    0.0000    0.0000    0.0000    0.0000         0    0.0000    0.0000
0055      元大MSCI金融           44.1700   44.3000   43.6000   43.6400  ▼0.5300       127   48.5800   39.7600
0056      元大高股息             52.5000   52.7000   52.1500   52.3000  ▼0.1000     14655   57.6000   47.1600
