日期:2026/09/18 『成交不含鉅額交易、盤後定價、零股』
================================================================================================================
代號      名稱                      開盤      最高      最低      收盤      漲跌    成交量    漲停價    跌停價
----------------------------------------------------------------------------------------------------------------
00400A    主動國泰動能高息       14.9000   15.0100   14.8000   15.0000  ▲0.4300     35950   16.0200   13.1200
00401A    主動摩根台灣鑫收       14.1300   14.2400   14.0900   14.2200  ▲0.2700      5158   15.3400   12.5600
00402A    主動安聯美國科技        9.5600    9.6200    9.5600    9.6200  ▲0.1000      6368 9999.9500    0.0100
00403A    主動統一升級50         10.2300   10.3400   10.2000   10.3300  ▲0.3200    314069   11.0100    9.0100
00404A    主動聯博動能50          9.6400    9.7200    9.6300    9.7100  ▲0.1900     14029   10.4700    8.5700
00405A    主動富邦台灣龍耀        8.6500    8.8700    8.6200    8.8700  ▲0.4400    105466    9.2700    7.5900
00406A    主動中信台灣收益        9.4700    9.5900    9.4600    9.5900  ▲0.2800    201952   10.2400    8.3800
00407A    主動凱基台灣            9.5300    9.7000    9.5200    9.7000  ▲0.3500     51608   10.2800    8.4200
00408A    主動第一金優股息       10.3000   10.3400   10.2600   10.3400  ▲0.1900      1850   11.1600    9.1400
00409A    主動復華全球50          9.6100    9.7800    9.6100    9.7800  ▲0.2500     22090 9999.9500    0.0100
00410A    主動永豐科技趨勢       11.8900   12.0800   11.8500   12.0700  ▲0.4200      7049   12.8100   10.4900
0050      元大台灣50            109.6000  109.9500  108.8500  109.8500  ▲1.8000     79388  118.8500   97.2500
0051      元大中型100           145.1500  146.1500  144.8000  145.7000  ▲1.8500        60  158.2000  129.5000
0052      富邦科技               63.5500   63.8500   63.2000   63.8000  ▲1.1000     15984   68.9500   56.4500
0053      元大電子              244.1500  246.8000  244.1500  246.8000  ▲4.8500        79  266.1000  217.8000
0054      元大台商50              0.0000    0.0000    0.0000    0.0000    0.0000         0    0.0000    0.0000
0055      元大MSCI金融           51.4000   51.4000   49.4500   50.1500  ▼0.7000      1651   55.9000   45.7700
0056      元大高股息             57.0000   57.1000   56.3500   56.8500  ▲0.5500     18345   61.9000   50.7000
0057      富邦摩台              325.8500  327.1500  323.6500  325.6500  ▲1.5500        38  356.5000  291.7000
0058      富邦發達                0.0000    0.0000    0.0000    0.0000    0.0000         0    0.0000    0.0000
0059      富邦金融                0.0000    0.0000    0.0000    0.0000    0.0000         0    0.0000    0.0000
