日期:2026/09/17 『成交不含鉅額交易、盤後定價、零股』
================================================================================================================
代號      名稱                      開盤      最高      最低      收盤      漲跌    成交量    漲停價    跌停價
----------------------------------------------------------------------------------------------------------------
00400A    主動國泰動能高息       14.7200   14.9400   14.5300   14.5700  ▲0.0500     27797   15.9700   13.0700
00401A    主動摩根台灣鑫收       13.9900   14.1700   13.9400   13.9500  ▲0.0900      5367   15.2400   12.4800
00402A    主動安聯美國科技        9.4800    9.5600    9.4800    9.5200  ▲0.1100      3160 9999.9500    0.0100
00403A    主動統一升級50         10.1100   10.2900   10.0100   10.0100  ▼0.0100    169741   11.0200    9.0200
00404A    主動聯博動能50          9.5100    9.6400    9.5100    9.5200  ▲0.0600     11274   10.4000    8.5200
00405A    主動富邦台灣龍耀        8.5800    8.7200    8.4000    8.4300  ▼0.0300     62462    9.3000    7.6200
00406A    主動中信台灣收益        9.5000    9.5800    9.3100    9.3100  ▼0.0300    474315   10.2700    8.4100
00407A    主動凱基台灣            9.5000    9.6100    9.3400    9.3500  ▼0.0100     27979   10.2900    8.4300
00408A    主動第一金優股息       10.2700   10.3500   10.1400   10.1500  ▼0.0100      2078   11.1700    9.1500
00409A    主動復華全球50          9.5300    9.6200    9.5200    9.5300  ▲0.0700     13405 9999.9500    0.0100
00410A    主動永豐科技趨勢       11.8400   12.0000   11.6500   11.6500  ▼0.0400      4361   12.8500   10.5300
0050      元大台灣50            107.9000  109.2000  107.8500  108.0500  ▲1.1500     47153  117.5500   96.2500
0051      元大中型100           144.7500  145.5500  143.8500  143.8500  ▲1.0000        18  157.1000  128.6000
0052      富邦科技               62.5500   63.4000   62.5500   62.7000  ▲0.7500     11347   68.1000   55.8000
0053      元大電子              241.3500  244.8500  241.2500  241.9500  ▲2.4500        24  263.4500  215.5500
0054      元大台商50              0.0000    0.0000    0.0000    0.0000    0.0000         0    0.0000    0.0000
0055      元大MSCI金融           50.6000   51.1500   50.0500   50.8500  ▲0.5500      1498   55.3000   45.2700
